GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060170316011,47.0,,06,017,031601,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160112020,
060170316012,48.0,,06,017,031601,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160122020,
060170316013,24.0,,06,017,031601,3,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160132020,
060170316021,114.0,,06,017,031602,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160212020,
060170316022,83.0,,06,017,031602,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160222020,
060170320011,213.0,,06,017,032001,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200112020,
060170320021,99.0,,06,017,032002,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200212020,
060170320022,16.0,,06,017,032002,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200222020,
060170302013,71.0,,06,017,030201,3,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020132020,
060170302011,132.0,,06,017,030201,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020112020,
060170302012,197.0,,06,017,030201,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020122020,
060170302021,169.0,,06,017,030202,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020212020,
060170302022,85.0,,06,017,030202,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020222020,
