GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060170316011,81.0,,06,017,031601,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160112020,
060170316012,108.0,,06,017,031601,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160122020,
060170316013,48.0,,06,017,031601,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160132020,
060170316021,94.0,,06,017,031602,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160212020,
060170316022,52.0,,06,017,031602,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160222020,
060170320011,31.0,,06,017,032001,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200112020,
060170320021,1.0,,06,017,032002,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200212020,
060170320022,0.0,,06,017,032002,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200222020,
060170302013,51.0,,06,017,030201,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020132020,
060170302011,39.0,,06,017,030201,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020112020,
060170302012,34.0,,06,017,030201,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020122020,
060170302021,25.0,,06,017,030202,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020212020,
060170302022,54.0,,06,017,030202,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020222020,
060170302023,46.0,,06,017,030202,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020232020,
060170303011,60.0,,06,017,030301,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030112020,
060170303012,106.0,,06,017,030301,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030122020,
060170303013,67.0,,06,017,030301,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030132020,
060170303021,47.0,,06,017,030302,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030212020,
060170303022,76.0,,06,017,030302,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030222020,
060170303023,53.0,,06,017,030302,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030232020,
060170303024,66.0,,06,017,030302,4,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030242020,
060170304021,36.0,,06,017,030402,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040212020,
060170304022,64.0,,06,017,030402,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040222020,
060170304023,47.0,,06,017,030402,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040232020,
060170304024,41.0,,06,017,030402,4,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040242020,
060170304025,35.0,,06,017,030402,5,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040252020,
060170304031,29.0,,06,017,030403,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040312020,
060170304032,7.0,,06,017,030403,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040322020,
060170304033,17.0,,06,017,030403,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040332020,
060170304041,26.0,,06,017,030404,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040412020,
060170304042,41.0,,06,017,030404,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040422020,
060170304043,27.0,,06,017,030404,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040432020,
060170305021,10.0,,06,017,030502,1,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050212020,
060170305022,19.0,,06,017,030502,2,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050222020,
060170305023,19.0,,06,017,030502,3,H13_014N,Renter Occupied: Householder 25 to 34 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050232020,
