GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
06017030201,218.0,87,06,017,,030201,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170302012020,South Lake Tahoe
06017030202,208.0,89,06,017,,030202,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170302022020,South Lake Tahoe
06017030301,541.0,258,06,017,,030301,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170303012020,South Lake Tahoe
06017030302,533.0,185,06,017,,030302,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170303022020,South Lake Tahoe
06017030402,743.0,211,06,017,,030402,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170304022020,South Lake Tahoe
06017030403,270.0,106,06,017,,030403,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170304032020,South Lake Tahoe
06017030404,377.0,184,06,017,,030404,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170304042020,South Lake Tahoe
06017030502,565.0,181,06,017,,030502,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170305022020,Meyers
06017030504,943.0,209,06,017,,030504,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170305042020,South Lake Tahoe
06017030506,260.0,76,06,017,,030506,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170305062020,Meyers
06017030507,321.0,120,06,017,,030507,S1501_C01_012E,Educational Attainment: Population 25 years and over: Bachelors degree,Education,2022,tract,acs/acs5/subject,2020,060170305072020,Meyers
