GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
06017030201,197.0,104,06,017,,030201,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170302012020,South Lake Tahoe
06017030202,32.0,25,06,017,,030202,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170302022020,South Lake Tahoe
06017030301,129.0,60,06,017,,030301,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170303012020,South Lake Tahoe
06017030302,130.0,60,06,017,,030302,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170303022020,South Lake Tahoe
06017030402,287.0,115,06,017,,030402,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170304022020,South Lake Tahoe
06017030403,75.0,38,06,017,,030403,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170304032020,South Lake Tahoe
06017030404,136.0,91,06,017,,030404,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170304042020,South Lake Tahoe
06017030502,188.0,57,06,017,,030502,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305022020,Meyers
06017030504,213.0,77,06,017,,030504,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305042020,South Lake Tahoe
06017030506,116.0,50,06,017,,030506,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305062020,Meyers
06017030507,143.0,49,06,017,,030507,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305072020,Meyers
06017031601,29.0,29,06,017,,031601,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170316012020,South Lake Tahoe
06017031602,26.0,38,06,017,,031602,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170316022020,South Lake Tahoe
06017032001,43.0,28,06,017,,032001,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170320012020,Tahoma
06017032002,0.0,13,06,017,,032002,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170320022020,Tahoma
06061020104,98.0,54,06,061,,020104,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201042020,Dollar Hill
06061020105,144.0,79,06,061,,020105,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201052020,Carnelian Bay
06061020106,71.0,58,06,061,,020106,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201062020,Tahoe Vista
06061020107,139.0,113,06,061,,020107,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201072020,Kings Beach
06061022100,112.0,68,06,061,,022100,B25012_003E,Owner Occupied Households With Related Children under 18,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610221002020,Tahoe Pines
