geoid,TRPAID,Housing_Issues_Yes_Owner,Housing_Issue_No_Owner,Housing_Issue_Yes_Renter,Housing_Issue_No_Renter
06017030201,060170302012020,155,320,260,255
06017030202,060170302022020,165,160,310,200
06017030301,060170303012020,195,275,365,330
06017030302,060170303022020,120,320,380,440
06017030402,060170304022020,300,540,505,425
06017030403,060170304032020,120,310,30,105
06017030404,060170304042020,185,370,270,145
06017030502,060170305022020,160,840,35,100
06017030504,060170305042020,415,625,105,60
06017030506,060170305062020,105,215,4,35
06017030507,060170305072020,195,405,20,30
06017031601,060170316012020,20,70,375,180
06017031602,060170316022020,75,310,240,245
06017032001,060170320012020,30,140,55,75
06017032002,060170320022020,45,45,0,0
06061020104,060610201042020,90,230,65,65
06061020105,060610201052020,140,405,70,65
06061020106,060610201062020,200,275,85,30
06061020107,060610201072020,255,355,360,200
06061022100,060610221002020,65,185,45,0
06061022200,060610222002020,65,200,65,55
06061022300,060610223002020,85,135,25,25
32005001600,320050016002020,225,515,45,90
32005001700,320050017002020,110,260,295,140
32005001800,320050018002020,250,510,75,155
32031003305,320310033052020,80,185,90,90
32031003306,320310033062020,85,320,205,130
32031003307,320310033072020,70,205,90,85
32031003308,320310033082020,110,810,50,65
32031003310,320310033102020,200,290,15,180
32031003311,320310033112020,170,390,50,150
