GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
6017030201,13.0,16.0,6,17,,30201,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170302012020,South Lake Tahoe
6017030202,0.0,13.0,6,17,,30202,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170302022020,South Lake Tahoe
6017030301,15.0,23.0,6,17,,30301,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170303012020,South Lake Tahoe
6017030302,0.0,13.0,6,17,,30302,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170303022020,South Lake Tahoe
6017030402,49.0,56.0,6,17,,30402,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170304022020,South Lake Tahoe
6017030403,0.0,13.0,6,17,,30403,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170304032020,South Lake Tahoe
6017030404,12.0,18.0,6,17,,30404,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170304042020,South Lake Tahoe
6017030502,60.0,43.0,6,17,,30502,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305022020,Meyers
6017030504,22.0,25.0,6,17,,30504,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305042020,South Lake Tahoe
6017030506,9.0,9.0,6,17,,30506,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305062020,Meyers
6017030507,10.0,14.0,6,17,,30507,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170305072020,Meyers
6017031601,0.0,13.0,6,17,,31601,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170316012020,South Lake Tahoe
6017031602,0.0,13.0,6,17,,31602,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170316022020,South Lake Tahoe
6017032001,0.0,13.0,6,17,,32001,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170320012020,Tahoma
6017032002,0.0,13.0,6,17,,32002,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060170320022020,Tahoma
6061020104,0.0,13.0,6,61,,20104,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201042020,Dollar Hill
6061020105,9.0,16.0,6,61,,20105,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201052020,Carnelian Bay
6061020106,29.0,31.0,6,61,,20106,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201062020,Tahoe Vista
6061020107,62.0,84.0,6,61,,20107,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610201072020,Kings Beach
6061022100,38.0,35.0,6,61,,22100,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610221002020,Tahoe Pines
6061022200,0.0,13.0,6,61,,22200,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610222002020,Tahoe City
6061022300,0.0,13.0,6,61,,22300,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,060610223002020,Homewood
32005001600,0.0,14.0,32,5,,1600,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,320050016002020,East Shore Douglas County
32005001700,0.0,14.0,32,5,,1700,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,320050017002020,East Shore Douglas County
32005001800,22.0,33.0,32,5,,1800,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,320050018002020,East Shore Douglas County
32031003305,7.0,7.0,32,31,,3305,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,320310033052020,Incline Village and Crystal Bay
32031003306,0.0,14.0,32,31,,3306,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,320310033062020,Incline Village and Crystal Bay
32031003307,0.0,14.0,32,31,,3307,B25012_006E,Owner Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2022,tract,acs/acs5,2020,320310033072020,Incline Village and Crystal Bay
