GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
06017030200,202.0,,06,017,,030200,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170302002010,South Lake Tahoe
06017030301,125.0,,06,017,,030301,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170303012010,South Lake Tahoe
06017030302,184.0,,06,017,,030302,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170303022010,South Lake Tahoe
06017030401,140.0,,06,017,,030401,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170304012010,South Lake Tahoe
06017030402,218.0,,06,017,,030402,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170304022010,South Lake Tahoe
06017030502,32.0,,06,017,,030502,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170305022010,Meyers / Hope Valley / Luther Pass
06017030504,45.0,,06,017,,030504,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170305042010,South Lake Tahoe
06017030505,44.0,,06,017,,030505,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170305052010,Meyers / Hope Valley / Luther Pass
06017031600,234.0,,06,017,,031600,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170316002010,South Lake Tahoe
06017032000,38.0,,06,017,,032000,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170320002010,Westside El Dorado /Tahoma
06061020104,40.0,,06,061,,020104,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060610201042010,Lake Forest /Dollar Hill
06061020105,36.0,,06,061,,020105,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060610201052010,Carnelian Bay
06061020106,47.0,,06,061,,020106,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060610201062010,Tahoe Vista
06061020107,128.0,,06,061,,020107,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060610201072010,Kings Beach /Brockway
06061022100,31.0,,06,061,,022100,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060610221002010,Tahoe Pines/ Sunnyside
06061022200,30.0,,06,061,,022200,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060610222002010,Tahoe City
06061022300,18.0,,06,061,,022300,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060610223002010,Homewood
32005001600,38.0,,32,005,,001600,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320050016002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32005001700,112.0,,32,005,,001700,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320050017002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32005001800,75.0,,32,005,,001800,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320050018002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32031003305,31.0,,32,031,,003305,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320310033052010,Central Incline Village
32031003306,72.0,,32,031,,003306,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320310033062010,Central Incline Village
32031003307,31.0,,32,031,,003307,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320310033072010,Central Incline Village
32031003308,57.0,,32,031,,003308,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320310033082010,Crystal Bay /surrounding Incline Village
32031003309,80.0,,32,031,,003309,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320310033092010,Crystal Bay /surrounding Incline Village
32031990000,0.0,,32,031,,990000,H017016,Renter Occupied: Householder 45 to 54 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,320319900002010,
06017030200,68.0,,06,017,,030200,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170302002010,South Lake Tahoe
06017030301,63.0,,06,017,,030301,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170303012010,South Lake Tahoe
06017030302,72.0,,06,017,,030302,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170303022010,South Lake Tahoe
06017030401,72.0,,06,017,,030401,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170304012010,South Lake Tahoe
06017030402,89.0,,06,017,,030402,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170304022010,South Lake Tahoe
06017030502,19.0,,06,017,,030502,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170305022010,Meyers / Hope Valley / Luther Pass
06017030504,26.0,,06,017,,030504,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170305042010,South Lake Tahoe
06017030505,13.0,,06,017,,030505,H017017,Renter Occupied: Householder 55 to 59 Years,Tenure by Age of Householder,2010,tract,dec/sf1,2010,060170305052010,Meyers / Hope Valley / Luther Pass
