GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060170302001,27.0,,06,017,030200,1,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703020012010,
060170302002,31.0,,06,017,030200,2,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703020022010,
060170302003,23.0,,06,017,030200,3,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703020032010,
060170302004,8.0,,06,017,030200,4,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703020042010,
060170302005,11.0,,06,017,030200,5,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703020052010,
060170303011,25.0,,06,017,030301,1,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703030112010,
060170303012,26.0,,06,017,030301,2,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703030122010,
060170303013,20.0,,06,017,030301,3,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703030132010,
060170303021,25.0,,06,017,030302,1,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703030212010,
060170303022,16.0,,06,017,030302,2,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703030222010,
060170303023,14.0,,06,017,030302,3,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703030232010,
060170303024,3.0,,06,017,030302,4,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703030242010,
060170304011,26.0,,06,017,030401,1,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040112010,
060170304012,24.0,,06,017,030401,2,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040122010,
060170304013,23.0,,06,017,030401,3,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040132010,
060170304014,16.0,,06,017,030401,4,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040142010,
060170304015,23.0,,06,017,030401,5,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040152010,
060170304021,8.0,,06,017,030402,1,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040212010,
060170304022,6.0,,06,017,030402,2,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040222010,
060170304023,19.0,,06,017,030402,3,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040232010,
060170304024,28.0,,06,017,030402,4,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040242010,
060170304025,21.0,,06,017,030402,5,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703040252010,
060170305021,39.0,,06,017,030502,1,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703050212010,
060170305022,63.0,,06,017,030502,2,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703050222010,
060170305023,54.0,,06,017,030502,3,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703050232010,
060170305041,70.0,,06,017,030504,1,H016005,Owner Occupied 3 person household,Tenure by Household Size,2010,block group,dec/sf1,2010,0601703050412010,
