,GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
0,06017030201,1723.0,393,06,017,,030201,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170302012020,South Lake Tahoe
1,06017030202,915.0,270,06,017,,030202,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170302022020,South Lake Tahoe
2,06017030301,1703.0,399,06,017,,030301,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170303012020,South Lake Tahoe
3,06017030302,2380.0,406,06,017,,030302,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170303022020,South Lake Tahoe
4,06017030402,2835.0,422,06,017,,030402,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170304022020,South Lake Tahoe
5,06017030403,1242.0,246,06,017,,030403,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170304032020,South Lake Tahoe
6,06017030404,1975.0,401,06,017,,030404,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170304042020,South Lake Tahoe
7,06017030502,2207.0,403,06,017,,030502,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170305022020,Meyers
8,06017030504,2420.0,518,06,017,,030504,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170305042020,South Lake Tahoe
9,06017030506,1022.0,229,06,017,,030506,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170305062020,Meyers
10,06017030507,1413.0,258,06,017,,030507,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170305072020,Meyers
11,06017031601,897.0,207,06,017,,031601,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170316012020,South Lake Tahoe
12,06017031602,1544.0,450,06,017,,031602,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170316022020,South Lake Tahoe
13,06017032001,779.0,181,06,017,,032001,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170320012020,Tahoma
14,06017032002,188.0,158,06,017,,032002,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060170320022020,Tahoma
15,06061020104,1156.0,316,06,061,,020104,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060610201042020,Dollar Hill
16,06061020105,1370.0,358,06,061,,020105,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060610201052020,Carnelian Bay
17,06061020106,1038.0,246,06,061,,020106,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060610201062020,Tahoe Vista
18,06061020107,1116.0,412,06,061,,020107,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060610201072020,Kings Beach
19,06061022100,904.0,348,06,061,,022100,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060610221002020,Tahoe Pines
20,06061022200,709.0,269,06,061,,022200,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060610222002020,Tahoe City
21,06061022300,577.0,141,06,061,,022300,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,060610223002020,Homewood
22,32005001600,1451.0,207,32,005,,001600,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320050016002020,East Shore Douglas County
23,32005001700,1192.0,247,32,005,,001700,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320050017002020,East Shore Douglas County
24,32005001800,1736.0,331,32,005,,001800,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320050018002020,East Shore Douglas County
25,32031003305,718.0,184,32,031,,003305,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320310033052020,Incline Village and Crystal Bay
26,32031003306,968.0,268,32,031,,003306,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320310033062020,Incline Village and Crystal Bay
27,32031003307,1053.0,196,32,031,,003307,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320310033072020,Incline Village and Crystal Bay
28,32031003308,2007.0,363,32,031,,003308,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320310033082020,Incline Village and Crystal Bay
29,32031003310,1347.0,319,32,031,,003310,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320310033102020,Incline Village and Crystal Bay
30,32031003311,1393.0,311,32,031,,003311,B03002_002E,Total Population: Not Hispanic or Latino,Race,2022,tract,acs/acs5,2020,320310033112020,Incline Village and Crystal Bay
