year_sample,tract,state,Description,county,variable_name,variable_code,census_geom_year,value,trpa_id
2010,001600,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,H014002,2010,623,3.2005E+14
2010,001600,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,H004004,2010,167,3.2005E+14
2010,001600,32,Occupancy and Vacancy Status,005,Total Housing Units,H001001,2010,1721,3.2005E+14
2010,001600,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,H003002,2010,790,3.2005E+14
2010,001600,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,H003003,2010,931,3.2005E+14
2010,001600,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,839,3.2005E+14
2010,001700,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,H014002,2010,290,3.2005E+14
2010,001700,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,H004004,2010,482,3.2005E+14
2010,001700,32,Occupancy and Vacancy Status,005,Total Housing Units,H001001,2010,1236,3.2005E+14
2010,001700,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,H003002,2010,772,3.2005E+14
2010,001700,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,H003003,2010,464,3.2005E+14
2010,001700,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,336,3.2005E+14
2010,001800,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Owner Occupied,H014002,2010,674,3.2005E+14
2010,001800,32,Occupancy and Vacancy Status,005,Occupied Housing Units: Renter Occupied,H004004,2010,364,3.2005E+14
2010,001800,32,Occupancy and Vacancy Status,005,Total Housing Units,H001001,2010,1867,3.2005E+14
2010,001800,32,Occupancy and Vacancy Status,005,Total Housing Units: Occupied,H003002,2010,1038,3.2005E+14
2010,001800,32,Occupancy and Vacancy Status,005,Total Housing Units: Vacant,H003003,2010,829,3.2005E+14
2010,001800,32,Occupancy and Vacancy Status,005,"Vacant Housing Units: Seasonal, recreational, or occasional use",H005006,2010,490,3.2005E+14
