"State","Zip Code","Program","Participants"
"CA","90007","Alien Physician","1"
"CA","90033","Alien Physician","1"
"CA","90048","Alien Physician","5"
"CA","90089","Alien Physician","1"
"CA","90813","Alien Physician","1"
"CA","91405","Alien Physician","1"
"CA","92093","Alien Physician","1"
"CA","92103","Alien Physician","3"
"CA","92350","Alien Physician","4"
"CA","92354","Alien Physician","2"
"CA","92804","Alien Physician","2"
"CA","92868","Alien Physician","2"
"CA","93306","Alien Physician","1"
"CA","93701","Alien Physician","3"
"CA","94063","Alien Physician","1"
"CA","94143","Alien Physician","7"
"CA","94304","Alien Physician","6"
"CA","94305","Alien Physician","14"
"CA","95817","Alien Physician","3"
"CA","90005","Au Pair","1"
"CA","90019","Au Pair","2"
"CA","90024","Au Pair","1"
"CA","90025","Au Pair","1"
"CA","90026","Au Pair","1"
"CA","90034","Au Pair","2"
"CA","90036","Au Pair","1"
"CA","90039","Au Pair","1"
"CA","90042","Au Pair","1"
"CA","90045","Au Pair","1"
"CA","90046","Au Pair","2"
"CA","90049","Au Pair","7"
"CA","90064","Au Pair","3"
"CA","90065","Au Pair","3"
"CA","90066","Au Pair","2"
"CA","90068","Au Pair","4"
"CA","90069","Au Pair","3"
"CA","90094","Au Pair","1"
"CA","90210","Au Pair","2"
"CA","90230","Au Pair","2"
"CA","90245","Au Pair","2"
"CA","90250","Au Pair","1"
"CA","90254","Au Pair","4"
"CA","90265","Au Pair","3"
"CA","90266","Au Pair","9"
"CA","90272","Au Pair","6"
"CA","90274","Au Pair","1"
"CA","90275","Au Pair","2"
"CA","90277","Au Pair","1"
"CA","90278","Au Pair","7"
"CA","90290","Au Pair","4"
"CA","90291","Au Pair","3"
"CA","90292","Au Pair","1"
"CA","90305","Au Pair","1"
"CA","90402","Au Pair","2"
"CA","90403","Au Pair","2"
"CA","90404","Au Pair","3"
"CA","90405","Au Pair","2"
"CA","90501","Au Pair","1"
"CA","90503","Au Pair","1"
"CA","90505","Au Pair","1"
"CA","90601","Au Pair","1"
"CA","90602","Au Pair","1"
"CA","90802","Au Pair","1"
"CA","90803","Au Pair","2"
"CA","90814","Au Pair","2"
"CA","91011","Au Pair","4"
"CA","91024","Au Pair","1"
"CA","91030","Au Pair","4"
"CA","91040","Au Pair","1"
"CA","91106","Au Pair","2"
"CA","91108","Au Pair","1"
"CA","91202","Au Pair","1"
"CA","91205","Au Pair","1"
"CA","91206","Au Pair","2"
"CA","91214","Au Pair","1"
"CA","91301","Au Pair","2"
"CA","91302","Au Pair","2"
"CA","91311","Au Pair","1"
"CA","91316","Au Pair","1"
"CA","91320","Au Pair","1"
"CA","91344","Au Pair","2"
"CA","91356","Au Pair","1"
"CA","91360","Au Pair","1"
"CA","91361","Au Pair","2"
"CA","91362","Au Pair","2"
"CA","91364","Au Pair","1"
"CA","91367","Au Pair","1"
"CA","91387","Au Pair","1"
"CA","91403","Au Pair","2"
"CA","91411","Au Pair","1"
"CA","91423","Au Pair","3"
"CA","91436","Au Pair","1"
"CA","91505","Au Pair","1"
"CA","91601","Au Pair","1"
"CA","91604","Au Pair","4"
"CA","91607","Au Pair","1"
"CA","91708","Au Pair","1"
"CA","91709","Au Pair","1"
"CA","91711","Au Pair","2"
"CA","91724","Au Pair","1"
"CA","91750","Au Pair","1"
"CA","91754","Au Pair","1"
"CA","91770","Au Pair","1"
"CA","91775","Au Pair","3"
"CA","91911","Au Pair","1"
"CA","91913","Au Pair","1"
"CA","91978","Au Pair","1"
"CA","92007","Au Pair","1"
"CA","92008","Au Pair","2"
"CA","92009","Au Pair","5"
"CA","92010","Au Pair","1"
"CA","92014","Au Pair","3"
"CA","92020","Au Pair","1"
"CA","92024","Au Pair","6"
"CA","92026","Au Pair","2"
"CA","92028","Au Pair","2"
"CA","92029","Au Pair","4"
"CA","92037","Au Pair","2"
"CA","92054","Au Pair","1"
"CA","92056","Au Pair","1"
"CA","92057","Au Pair","1"
"CA","92058","Au Pair","1"
"CA","92065","Au Pair","1"
"CA","92067","Au Pair","1"
"CA","92069","Au Pair","1"
"CA","92078","Au Pair","4"
"CA","92082","Au Pair","1"
"CA","92084","Au Pair","1"
"CA","92102","Au Pair","1"
"CA","92103","Au Pair","4"
"CA","92107","Au Pair","1"
"CA","92109","Au Pair","3"
"CA","92115","Au Pair","1"
"CA","92118","Au Pair","1"
"CA","92119","Au Pair","1"
"CA","92120","Au Pair","4"
"CA","92124","Au Pair","1"
"CA","92126","Au Pair","1"
"CA","92127","Au Pair","2"
"CA","92129","Au Pair","2"
"CA","92130","Au Pair","7"
"CA","92131","Au Pair","2"
"CA","92270","Au Pair","1"
"CA","92373","Au Pair","1"
"CA","92503","Au Pair","1"
"CA","92509","Au Pair","1"
"CA","92530","Au Pair","1"
"CA","92584","Au Pair","1"
"CA","92592","Au Pair","1"
"CA","92602","Au Pair","2"
"CA","92603","Au Pair","1"
"CA","92610","Au Pair","1"
"CA","92614","Au Pair","1"
"CA","92617","Au Pair","2"
"CA","92618","Au Pair","2"
"CA","92620","Au Pair","1"
"CA","92625","Au Pair","1"
"CA","92630","Au Pair","1"
"CA","92646","Au Pair","3"
"CA","92651","Au Pair","1"
"CA","92653","Au Pair","1"
"CA","92656","Au Pair","3"
"CA","92657","Au Pair","2"
"CA","92660","Au Pair","1"
"CA","92663","Au Pair","2"
"CA","92672","Au Pair","1"
"CA","92673","Au Pair","2"
"CA","92675","Au Pair","2"
"CA","92676","Au Pair","1"
"CA","92677","Au Pair","1"
"CA","92688","Au Pair","1"
"CA","92691","Au Pair","1"
"CA","92694","Au Pair","4"
"CA","92705","Au Pair","1"
"CA","92808","Au Pair","1"
"CA","92831","Au Pair","1"
"CA","92866","Au Pair","1"
"CA","92867","Au Pair","1"
"CA","92880","Au Pair","1"
"CA","92886","Au Pair","2"
"CA","93004","Au Pair","1"
"CA","93010","Au Pair","2"
"CA","93012","Au Pair","1"
"CA","93021","Au Pair","1"
"CA","93023","Au Pair","1"
"CA","93065","Au Pair","1"
"CA","93103","Au Pair","1"
"CA","93108","Au Pair","1"
"CA","93110","Au Pair","2"
"CA","93111","Au Pair","1"
"CA","93230","Au Pair","1"
"CA","93292","Au Pair","1"
"CA","93314","Au Pair","2"
"CA","93401","Au Pair","1"
"CA","93402","Au Pair","1"
"CA","93422","Au Pair","1"
"CA","93442","Au Pair","1"
"CA","93446","Au Pair","1"
"CA","93449","Au Pair","3"
"CA","93453","Au Pair","1"
"CA","93460","Au Pair","1"
"CA","93463","Au Pair","1"
"CA","93551","Au Pair","1"
"CA","93704","Au Pair","1"
"CA","93711","Au Pair","1"
"CA","93923","Au Pair","1"
"CA","93940","Au Pair","1"
"CA","93953","Au Pair","1"
"CA","94002","Au Pair","8"
"CA","94010","Au Pair","27"
"CA","94015","Au Pair","1"
"CA","94018","Au Pair","1"
"CA","94019","Au Pair","3"
"CA","94022","Au Pair","7"
"CA","94024","Au Pair","9"
"CA","94025","Au Pair","14"
"CA","94027","Au Pair","5"
"CA","94028","Au Pair","8"
"CA","94030","Au Pair","5"
"CA","94038","Au Pair","1"
"CA","94040","Au Pair","6"
"CA","94043","Au Pair","3"
"CA","94044","Au Pair","4"
"CA","94061","Au Pair","10"
"CA","94062","Au Pair","13"
"CA","94063","Au Pair","1"
"CA","94065","Au Pair","5"
"CA","94066","Au Pair","2"
"CA","94070","Au Pair","10"
"CA","94080","Au Pair","1"
"CA","94086","Au Pair","7"
"CA","94089","Au Pair","2"
"CA","94102","Au Pair","1"
"CA","94105","Au Pair","1"
"CA","94107","Au Pair","3"
"CA","94109","Au Pair","3"
"CA","94110","Au Pair","10"
"CA","94112","Au Pair","3"
"CA","94114","Au Pair","9"
"CA","94115","Au Pair","6"
"CA","94116","Au Pair","4"
"CA","94117","Au Pair","9"
"CA","94118","Au Pair","8"
"CA","94121","Au Pair","7"
"CA","94122","Au Pair","10"
"CA","94123","Au Pair","4"
"CA","94127","Au Pair","10"
"CA","94131","Au Pair","9"
"CA","94132","Au Pair","3"
"CA","94133","Au Pair","2"
"CA","94134","Au Pair","2"
"CA","94301","Au Pair","3"
"CA","94303","Au Pair","8"
"CA","94304","Au Pair","1"
"CA","94305","Au Pair","2"
"CA","94306","Au Pair","5"
"CA","94401","Au Pair","3"
"CA","94402","Au Pair","10"
"CA","94403","Au Pair","5"
"CA","94404","Au Pair","1"
"CA","94501","Au Pair","8"
"CA","94502","Au Pair","2"
"CA","94506","Au Pair","7"
"CA","94507","Au Pair","6"
"CA","94513","Au Pair","4"
"CA","94515","Au Pair","1"
"CA","94517","Au Pair","2"
"CA","94518","Au Pair","1"
"CA","94519","Au Pair","1"
"CA","94521","Au Pair","1"
"CA","94523","Au Pair","4"
"CA","94526","Au Pair","6"
"CA","94530","Au Pair","3"
"CA","94533","Au Pair","2"
"CA","94534","Au Pair","4"
"CA","94536","Au Pair","2"
"CA","94538","Au Pair","1"
"CA","94539","Au Pair","4"
"CA","94542","Au Pair","1"
"CA","94545","Au Pair","2"
"CA","94546","Au Pair","3"
"CA","94549","Au Pair","13"
"CA","94550","Au Pair","6"
"CA","94551","Au Pair","2"
"CA","94553","Au Pair","3"
"CA","94556","Au Pair","4"
"CA","94558","Au Pair","3"
"CA","94560","Au Pair","5"
"CA","94561","Au Pair","1"
"CA","94563","Au Pair","19"
"CA","94566","Au Pair","7"
"CA","94568","Au Pair","7"
"CA","94582","Au Pair","4"
"CA","94583","Au Pair","11"
"CA","94587","Au Pair","2"
"CA","94588","Au Pair","4"
"CA","94596","Au Pair","4"
"CA","94597","Au Pair","3"
"CA","94598","Au Pair","8"
"CA","94602","Au Pair","4"
"CA","94605","Au Pair","2"
"CA","94607","Au Pair","1"
"CA","94608","Au Pair","1"
"CA","94609","Au Pair","2"
"CA","94610","Au Pair","8"
"CA","94611","Au Pair","25"
"CA","94618","Au Pair","8"
"CA","94619","Au Pair","4"
"CA","94703","Au Pair","2"
"CA","94705","Au Pair","4"
"CA","94706","Au Pair","1"
"CA","94708","Au Pair","3"
"CA","94804","Au Pair","1"
"CA","94901","Au Pair","9"
"CA","94903","Au Pair","7"
"CA","94904","Au Pair","3"
"CA","94920","Au Pair","14"
"CA","94925","Au Pair","7"
"CA","94928","Au Pair","1"
"CA","94930","Au Pair","1"
"CA","94939","Au Pair","7"
"CA","94941","Au Pair","19"
"CA","94945","Au Pair","3"
"CA","94947","Au Pair","4"
"CA","94949","Au Pair","3"
"CA","94954","Au Pair","2"
"CA","94957","Au Pair","1"
"CA","94960","Au Pair","12"
"CA","94965","Au Pair","1"
"CA","95006","Au Pair","1"
"CA","95008","Au Pair","1"
"CA","95014","Au Pair","5"
