"State","Zip Code","Program","Participants"
"NV","89102","Alien Physician","4"
"NV","89502","Alien Physician","11"
"NV","89002","Au Pair","1"
"NV","89011","Au Pair","1"
"NV","89012","Au Pair","2"
"NV","89044","Au Pair","1"
"NV","89052","Au Pair","11"
"NV","89074","Au Pair","2"
"NV","89117","Au Pair","3"
"NV","89128","Au Pair","3"
"NV","89129","Au Pair","2"
"NV","89131","Au Pair","2"
"NV","89134","Au Pair","1"
"NV","89135","Au Pair","5"
"NV","89138","Au Pair","3"
"NV","89139","Au Pair","3"
"NV","89141","Au Pair","1"
"NV","89144","Au Pair","1"
"NV","89145","Au Pair","3"
"NV","89148","Au Pair","3"
"NV","89149","Au Pair","2"
"NV","89179","Au Pair","1"
"NV","89183","Au Pair","1"
"NV","89408","Au Pair","1"
"NV","89436","Au Pair","2"
"NV","89448","Au Pair","1"
"NV","89451","Au Pair","4"
"NV","89506","Au Pair","1"
"NV","89509","Au Pair","4"
"NV","89511","Au Pair","5"
"NV","89512","Au Pair","1"
"NV","89519","Au Pair","3"
"NV","89521","Au Pair","2"
"NV","89413","Camp Counselor","1"
"NV","89511","Camp Counselor","2"
"NV","89815","Camp Counselor","2"
"NV","89503","Government Visitor","3"
"NV","89029","Intern","7"
"NV","89030","Intern","2"
"NV","89109","Intern","4"
"NV","89115","Intern","1"
"NV","89118","Intern","3"
"NV","89120","Intern","2"
"NV","89128","Intern","1"
"NV","89129","Intern","2"
"NV","89139","Intern","1"
"NV","89154","Intern","1"
"NV","89406","Intern","1"
"NV","89410","Intern","1"
"NV","89431","Intern","3"
"NV","89448","Intern","5"
"NV","89449","Intern","17"
"NV","89451","Intern","22"
"NV","89501","Intern","11"
"NV","89502","Intern","15"
"NV","89595","Intern","8"
"NV","89801","Intern","2"
"NV","89503","International Visitor","25"
"NV","89154","Professor","2"
"NV","89154","Research Scholar","28"
"NV","89503","Research Scholar","10"
"NV","89512","Research Scholar","4"
"NV","89557","Research Scholar","48"
"NV","89154","Short-Term Scholar","25"
"NV","89502","Short-Term Scholar","1"
"NV","89503","Short-Term Scholar","4"
"NV","89512","Short-Term Scholar","1"
"NV","89557","Short-Term Scholar","15"
"NV","89117","Specialist","1"
"NV","89119","Specialist","1"
"NV","89557","Specialist","1"
"NV","89154","Student College University","96"
"NV","89501","Student College University","1"
"NV","89502","Student College University","1"
"NV","89503","Student College University","45"
"NV","89557","Student College University","88"
"NV","89001","Student Secondary","2"
"NV","89002","Student Secondary","13"
"NV","89005","Student Secondary","5"
"NV","89014","Student Secondary","10"
"NV","89015","Student Secondary","11"
"NV","89021","Student Secondary","25"
"NV","89027","Student Secondary","1"
"NV","89031","Student Secondary","1"
"NV","89032","Student Secondary","4"
"NV","89040","Student Secondary","2"
"NV","89042","Student Secondary","5"
"NV","89045","Student Secondary","1"
"NV","89048","Student Secondary","6"
"NV","89052","Student Secondary","13"
"NV","89084","Student Secondary","8"
"NV","89101","Student Secondary","1"
"NV","89110","Student Secondary","1"
"NV","89113","Student Secondary","6"
"NV","89120","Student Secondary","2"
"NV","89121","Student Secondary","3"
"NV","89123","Student Secondary","3"
"NV","89128","Student Secondary","4"
"NV","89130","Student Secondary","1"
"NV","89131","Student Secondary","44"
