Table,Column/Variable Name,Column Type,Description 1,Description 2,Description 3,Description 4,Description 5
All,source,Header,Identifies the data as being produced from the 2017-2021 American Community Survey. ,,,,
All,sumlevel,Header,Geographic summary level code.,,,,
All,geoid,Header,"Unique geographic id. Digits 1-3 indicate the summary level. Digits 4-7 indicate the component. Digits 8-9 always say US. The remainder varies by summary level. For instance, at summary level 050 (counties), there are 5 digits to indicate the state and county.",,,,
All,name,Header,The name of the jurisdiction.,,,,
All,st,Header,State FIPS code. 2 digits.,,,,
All,cnty,Header,"County FIPS code. 3 digits. Included only in files at summary level 050, 060, 140, and 155.",,,,
All,mcd,Header,Minor Civil Division FIPS code. 5 digits. Included only in files at summary level 060.,,,,
All,place,Header,Place FIPS code. 5 digits. Included only in files at summary level 155 and 160.,,,,
All,concit,Header,Consolidated City FIPS code. 5 digits. Included only in files at summary level 170.,,,,
All,tract,Header,Census tract FIPS code. 6 digits. Included only in files at summary level 140.,,,,
T1,T1_est1,Total,Total: Occupied housing units,All,All,All,
T1,T1_est2,Subtotal,Owner occupied,All,All,All,
T1,T1_est3,Subtotal,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",All,All,
T1,T1_est4,Subtotal,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,All,
T1,T1_est5,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"White alone, non-Hispanic",
T1,T1_est6,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est7,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est8,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est9,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est10,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",less than or equal to 30% of HAMFI,"Hispanic, any race",
T1,T1_est11,Subtotal,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,All,
T1,T1_est12,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"White alone, non-Hispanic",
T1,T1_est13,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est14,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est15,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est16,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est17,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 30% but less than or equal to 50% of HAMFI,"Hispanic, any race",
T1,T1_est18,Subtotal,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,All,
T1,T1_est19,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"White alone, non-Hispanic",
T1,T1_est20,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est21,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est22,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est23,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est24,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 50% but less than or equal to 80% of HAMFI,"Hispanic, any race",
T1,T1_est25,Subtotal,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,All,
T1,T1_est26,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"White alone, non-Hispanic",
T1,T1_est27,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est28,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est29,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est30,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est31,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 80% but less than or equal to 100% of HAMFI,"Hispanic, any race",
T1,T1_est32,Subtotal,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,All,
T1,T1_est33,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"White alone, non-Hispanic",
T1,T1_est34,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est35,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est36,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est37,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est38,Detail,Owner occupied,"has 1 or more of the 4 housing unit problems (lacks kitchen or plumbing, more than 1 person per room, or cost burden greater than 30%)",greater than 100% of HAMFI,"Hispanic, any race",
T1,T1_est39,Subtotal,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",All,All,
T1,T1_est40,Subtotal,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,All,
T1,T1_est41,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"White alone, non-Hispanic",
T1,T1_est42,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est43,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est44,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est45,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est46,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",less than or equal to 30% of HAMFI,"Hispanic, any race",
T1,T1_est47,Subtotal,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,All,
T1,T1_est48,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"White alone, non-Hispanic",
T1,T1_est49,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Black or African-American alone, non-Hispanic",
T1,T1_est50,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Asian alone, non-Hispanic",
T1,T1_est51,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"American Indian or Alaska Native alone, non-Hispanic",
T1,T1_est52,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Pacific Islander alone, non-Hispanic",
T1,T1_est53,Detail,Owner occupied,"has none of the 4 housing problems OR cost burden not computed, none of the other 3 housing problems",greater than 30% but less than or equal to 50% of HAMFI,"Hispanic, any race",
