Category,Description,variable_code,Variable Name,geography,dataset,year,census_geom_year,comments
Workforce and Employment,Labor Force Characteristics,DP03_0001E,Population 16 years and over: Total,tract,acs/acs5/profile,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,DP03_0002E,Population 16 years and over: In labor force,tract,acs/acs5/profile,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,DP03_0003E,Population 16 years and over: In labor force: Civilian labor force,tract,acs/acs5/profile,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,DP03_0004E,Population 16 years and over: In labor force: Civilian labor force: Employed,tract,acs/acs5/profile,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,DP03_0005E,Population 16 years and over: In labor force: Civilian labor force: Unemployed,tract,acs/acs5/profile,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,DP03_0006E,Population 16 years and over: In labor force: Armed Forces,tract,acs/acs5/profile,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,DP03_0007E,Population 16 years and over: Not in labor force,tract,acs/acs5/profile,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,S2401_C01_001E,Civilian employed population 16 years and over: Total,tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Labor Force Characteristics,DP03_0001E,Population 16 years and over: Total,tract,acs/acs5/profile,2014,2010,
Workforce and Employment,Labor Force Characteristics,DP03_0002E,Population 16 years and over: In labor force,tract,acs/acs5/profile,2014,2010,
Workforce and Employment,Labor Force Characteristics,DP03_0003E,Population 16 years and over: In labor force: Civilian labor force,tract,acs/acs5/profile,2014,2010,
Workforce and Employment,Labor Force Characteristics,DP03_0004E,Population 16 years and over: In labor force: Civilian labor force: Employed,tract,acs/acs5/profile,2014,2010,
Workforce and Employment,Labor Force Characteristics,DP03_0005E,Population 16 years and over: In labor force: Civilian labor force: Unemployed,tract,acs/acs5/profile,2014,2010,
Workforce and Employment,Labor Force Characteristics,DP03_0006E,Population 16 years and over: In labor force: Armed Forces,tract,acs/acs5/profile,2014,2010,
Workforce and Employment,Labor Force Characteristics,DP03_0007E,Population 16 years and over: Not in labor force,tract,acs/acs5/profile,2014,2010,
Workforce and Employment,Labor Force Characteristics,S2401_C01_001E,Civilian employed population 16 years and over: Total,tract,acs/acs5/subject,2014,2010,
Workforce and Employment,Occupational Employment,S2401_C01_002E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Total",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_003E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Management, business, and financial occupations: Total",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_004E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Management, business, and financial occupations: Management occupations",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_005E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Management, business, and financial occupations: Business and financial operations occupations",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_006E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Total",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_007E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Computer and mathematical occupations",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_008E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Architecture and engineering occupations",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_009E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Life, physical, and social science occupations",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_010E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Education, legal, community service, arts, and media occupations: Total",tract,acs/acs5/subject,2022,2020,Add
Workforce and Employment,Occupational Employment,S2401_C01_011E,"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Education, legal, community service, arts, and media occupations: Community and social service occupations",tract,acs/acs5/subject,2022,2020,Add
