Category,Description,variable_code,Variable Name,geography,dataset,year,census_geom_year,denominator,Download B25136_001?,B25014_001E,B25032_001E
Housing Stock,Housing by Units in Structure,B25136_001E,Total: Total,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_002E,Occupied Units Total,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_003E,"Occupied Units 1-unit, detached",tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_004E,"Occupied Units 1-unit, attached",tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_005E,Occupied Units 2-9 units,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_006E,Occupied Units 10 or more units,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_007E,"Occupied Units Mobile home, Boat, RV, Van, etc.",tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_008E,Vacant Units Total,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_009E,"Vacant Units 1-unit, detached",tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_010E,"Vacant Units 1-unit, attached",tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_011E,Vacant Units 2-9 units,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_012E,Vacant Units 10 or more units,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing by Units in Structure,B25136_013E,Vacant Units Mobile home,tract,acs/acs5,2022,2020,B25136_001E,,,
Housing Stock,Housing Units by Heating Fuel Type,B25040_001E,Total Heating Methods,tract,acs/acs5,2022,2020,B25040_001E,,,
Housing Stock,Housing Units by Heating Fuel Type,B25040_002E,Utility gas,tract,acs/acs5,2022,2020,B25040_001E,,,
Housing Stock,Housing Units by Heating Fuel Type,B25040_003E,"Bottled, tank, or LP gas",tract,acs/acs5,2022,2020,B25040_001E,,,
Housing Stock,Housing Units by Heating Fuel Type,B25040_004E,Electricity,tract,acs/acs5,2022,2020,B25040_001E,,,
