Category,Code,Value,Year,Source,Notes,Geography
Occupied Housing Units: Renter Occupied,H0080002,7415,1990,dec/sf3,,South Lake
Occupied Housing Units: Renter Occupied,H0080002,3282,1990,dec/sf3,,North Lake
Occupied Housing Units: Renter Occupied,H004004,7411,2010,dec/sf1,,South Lake
Occupied Housing Units: Renter Occupied,H004004,3294,2010,dec/sf1,,North Lake
Occupied Housing Units: Renter Occupied,H004003,7258,2000,dec/sf1,,South Lake
Occupied Housing Units: Renter Occupied,H004003,3325,2000,dec/sf1,,North Lake
Occupied Housing Units: Renter Occupied,DP1_0160C,7372,2020,dec/dp,,South Lake
Occupied Housing Units: Renter Occupied,DP1_0160C,3100,2020,dec/dp,,North Lake
Occupied Housing Units: Renter Occupied,B25003_003E,6910,2020,acs/acs5,,South Lake
Occupied Housing Units: Renter Occupied,B25003_003E,2130,2020,acs/acs5,,North Lake
Occupied Housing Units: Renter Occupied,B25003_003E,6377,2021,acs/acs5,,South Lake
Occupied Housing Units: Renter Occupied,B25003_003E,2354,2021,acs/acs5,,North Lake
Occupied Housing Units: Renter Occupied,H0080002,1343,1990,dec/sf3,,Washoe County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H0080002,1939,1990,dec/sf3,,Placer County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H0080002,6324,1990,dec/sf3,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H0080002,1091,1990,dec/sf3,,Douglas County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H004004,1347,2010,dec/sf1,,Washoe County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H004004,1947,2010,dec/sf1,,Placer County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H004004,6398,2010,dec/sf1,,El Dorado County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H004004,1013,2010,dec/sf1,,Douglas County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H004003,1333,2000,dec/sf1,,Washoe County (Tahoe Basin)
Occupied Housing Units: Renter Occupied,H004003,1992,2000,dec/sf1,,Placer County (Tahoe Basin)
