Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total Households by Household Size,H12_001N,Tenure by Household Size,Decennial,dec/dhc,H12_001N,2020,2020,block group
Total Owner Occupied Housholds,H12_002N,Tenure by Household Size,Decennial,dec/dhc,H12_002N,2020,2020,block group
Owner Occupied 1 person household,H12_003N,Tenure by Household Size,Decennial,dec/dhc,H12_003N,2020,2020,block group
Owner Occupied 2 person household,H12_004N,Tenure by Household Size,Decennial,dec/dhc,H12_004N,2020,2020,block group
Owner Occupied 3 person household,H12_005N,Tenure by Household Size,Decennial,dec/dhc,H12_005N,2020,2020,block group
Owner Occupied 4 person household,H12_006N,Tenure by Household Size,Decennial,dec/dhc,H12_006N,2020,2020,block group
Owner Occupied 5 person household,H12_007N,Tenure by Household Size,Decennial,dec/dhc,H12_007N,2020,2020,block group
Owner Occupied 6 person household,H12_008N,Tenure by Household Size,Decennial,dec/dhc,H12_008N,2020,2020,block group
Owner Occupied 7 person household,H12_009N,Tenure by Household Size,Decennial,dec/dhc,H12_009N,2020,2020,block group
Total Renter Occupied Housholds,H12_010N,Tenure by Household Size,Decennial,dec/dhc,H12_010N,2020,2020,block group
Renter Occupied 1 person household,H12_011N,Tenure by Household Size,Decennial,dec/dhc,H12_011N,2020,2020,block group
Renter Occupied 2 person household,H12_012N,Tenure by Household Size,Decennial,dec/dhc,H12_012N,2020,2020,block group
Renter Occupied 3 person household,H12_013N,Tenure by Household Size,Decennial,dec/dhc,H12_013N,2020,2020,block group
Renter Occupied 4 person household,H12_014N,Tenure by Household Size,Decennial,dec/dhc,H12_014N,2020,2020,block group
Renter Occupied 5 person household,H12_015N,Tenure by Household Size,Decennial,dec/dhc,H12_015N,2020,2020,block group
Renter Occupied 6 person household,H12_016N,Tenure by Household Size,Decennial,dec/dhc,H12_016N,2020,2020,block group
Renter Occupied 7 person household,H12_017N,Tenure by Household Size,Decennial,dec/dhc,H12_017N,2020,2020,block group
Group Quarters Population,PC01_001N,Group Quarters,Decennial,dec/dhc,PC01_001N,2020,2020,block group
Median Age Female,P13_003N,Age,Decennial,dec/dhc,P13_003N,2020,2020,block group
Median Age Male,P13_002N,Age,Decennial,dec/dhc,P13_002N,2020,2020,block group
Total Households by Presence of Children,HCT2_001N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_001N,2020,2020,block group
Total Owner Occupied Housholds by Presence of Children,HCT2_002N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_002N,2020,2020,block group
Owner Occupied Households With Own Children under 18,HCT2_003N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_003N,2020,2020,block group
Owner Occupied Households With Own Children under 6 years only,HCT2_004N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_004N,2020,2020,block group
Owner Occupied Households With Own Children under 6 years and 6 to 17 years,HCT2_005N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_005N,2020,2020,block group
Owner Occupied Households With Own Children 6 to 17 years,HCT2_006N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_006N,2020,2020,block group
Owner Occupied Households No Own Children under 18,HCT2_007N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_007N,2020,2020,block group
Total Renter Occupied Housholds by Presence of Children,HCT2_008N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_008N,2020,2020,block group
Renter Occupied Households With Own Children under 18,HCT2_009N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_009N,2020,2020,block group
Renter Occupied Households With Own Children under 6 years only,HCT2_010N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_010N,2020,2020,block group
Renter Occupied Households With Own Children under 6 years and 6 to 17 years,HCT2_011N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_011N,2020,2020,block group
Renter Occupied Households With Own Children 6 to 17 years,HCT2_012N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_012N,2020,2020,block group
Renter Occupied Households No Own Children under 18,HCT2_013N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_013N,2020,2020,block group
