Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Population 16 years and over: Total,DP03_0001,Employment,American Community Survey,acs/acs5/profile,DP03_0001,2022,2020,tract
Population 16 years and over: In labor force,DP03_0002,Employment,American Community Survey,acs/acs5/profile,DP03_0002,2022,2020,tract
Population 16 years and over: In labor force: Civilian labor force,DP03_0003,Employment,American Community Survey,acs/acs5/profile,DP03_0003,2022,2020,tract
Population 16 years and over: In labor force: Civilian labor force: Employed,DP03_0004,Employment,American Community Survey,acs/acs5/profile,DP03_0004,2022,2020,tract
Population 16 years and over: In labor force: Civilian labor force: Unemployed,DP03_0005,Employment,American Community Survey,acs/acs5/profile,DP03_0005,2022,2020,tract
Population 16 years and over: In labor force: Armed Forces,DP03_0006,Employment,American Community Survey,acs/acs5/profile,DP03_0006,2022,2020,tract
Population 16 years and over: Not in labor force,DP03_0007,Employment,American Community Survey,acs/acs5/profile,DP03_0007,2022,2020,tract
Civilian employed population 16 years and over: Total,S2401_C01_001,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_001,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Total",S2401_C01_002,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_002,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Management, business, and financial occupations: Total",S2401_C01_003,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_003,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Management, business, and financial occupations: Management occupations",S2401_C01_004,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_004,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Management, business, and financial occupations: Business and financial operations occupations",S2401_C01_005,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_005,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Total",S2401_C01_006,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_006,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Computer and mathematical occupations",S2401_C01_007,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_007,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Architecture and engineering occupations",S2401_C01_008,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_008,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Computer, engineering, and science occupations: Life, physical, and social science occupations",S2401_C01_009,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_009,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Education, legal, community service, arts, and media occupations: Total",S2401_C01_010,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_010,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Education, legal, community service, arts, and media occupations: Community and social service occupations",S2401_C01_011,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_011,2022,2020,tract
"Civilian employed population 16 years and over: Management, business, science, and arts occupations: Education, legal, community service, arts, and media occupations: Legal occupations",S2401_C01_012,Occupation by Sex for the Civilian Employed Population 16 Years and Over,American Community Survey,acs/acs5/subject,S2401_C01_012,2022,2020,tract
